invoice_line_id,tracking_id,client,carrier,service,invoice_date,billed_total,expected_total,variance_usd,exception_type,recovery_usd
250683,1Z000190347,Harbor Home Goods,NationalExpress,NEX_2DAY,2025-05-04,129.7,129.7,0.0,duplicate_billing,129.7
59428,1Z000059428,Harbor Home Goods,NationalExpress,NEX_2DAY,2025-07-24,118.04,118.03,0.01,manifested_not_shipped,118.04
250049,1Z000013123,Ironline Industrial,NationalExpress,NEX_2DAY,2025-10-20,101.01,95.81,5.2,duplicate_billing,101.01
250213,1Z000058791,Ironline Industrial,NationalExpress,NEX_GROUND,2025-04-11,87.48,87.48,0.0,duplicate_billing,87.48
250583,1Z000157356,Ironline Industrial,ContinentalParcel,CPX_GROUND,2025-09-23,78.76,78.76,0.0,duplicate_billing,78.76
250199,1Z000055163,Harbor Home Goods,NationalExpress,NEX_2DAY,2025-08-07,74.93,74.92,0.01,duplicate_billing,74.93
249653,1Z000249653,Ironline Industrial,NationalExpress,NEX_GROUND,2025-05-24,74.24,74.24,0.0,manifested_not_shipped,74.24
233029,1Z000233029,Harbor Home Goods,NationalExpress,NEX_2DAY,2025-12-19,72.05,72.05,0.0,manifested_not_shipped,72.05
250819,1Z000232044,Ironline Industrial,NationalExpress,NEX_2DAY,2025-09-16,67.57,67.57,0.0,duplicate_billing,67.57
134293,1Z000134293,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-12-22,67.54,67.54,0.0,manifested_not_shipped,67.54
250763,1Z000216295,Ironline Industrial,NationalExpress,NEX_2DAY,2025-03-26,66.69,65.54,1.15,duplicate_billing,66.69
242814,1Z000242814,Ironline Industrial,NationalExpress,NEX_GROUND,2025-01-28,66.63,66.63,0.0,manifested_not_shipped,66.63
250300,1Z000082270,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-03-07,64.94,64.94,0.0,duplicate_billing,64.94
250750,1Z000213396,Lumen Electronics,NationalExpress,NEX_2DAY,2025-08-29,64.11,64.11,0.0,duplicate_billing,64.11
250329,1Z000089774,Ironline Industrial,NationalExpress,NEX_2DAY,2025-02-25,63.98,63.98,0.0,duplicate_billing,63.98
250626,1Z000173346,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-11-06,61.77,61.76,0.01,duplicate_billing,61.77
117602,1Z000117602,Harbor Home Goods,ContinentalParcel,CPX_GROUND,2025-06-25,61.37,61.36,0.01,manifested_not_shipped,61.37
2676,1Z000002676,Harbor Home Goods,ContinentalParcel,CPX_GROUND,2025-11-01,59.76,59.76,0.0,manifested_not_shipped,59.76
101431,1Z000101431,Lumen Electronics,NationalExpress,NEX_2DAY,2025-12-05,58.2,58.2,0.0,manifested_not_shipped,58.2
59998,1Z000059998,Ironline Industrial,NationalExpress,NEX_2DAY,2025-07-03,57.72,57.72,0.0,manifested_not_shipped,57.72
250732,1Z000206652,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-12-09,56.71,56.71,0.0,duplicate_billing,56.71
250508,1Z000134598,Harbor Home Goods,ContinentalParcel,CPX_GROUND,2025-02-15,56.56,56.55,0.01,duplicate_billing,56.56
250600,1Z000162601,Ironline Industrial,ContinentalParcel,CPX_GROUND,2025-03-01,55.46,49.51,5.95,duplicate_billing,55.46
250448,1Z000120263,Ironline Industrial,NationalExpress,NEX_GROUND,2025-01-29,55.07,55.07,0.0,duplicate_billing,55.07
236410,1Z000236410,Ironline Industrial,ContinentalParcel,CPX_GROUND,2025-09-06,54.76,54.76,0.0,manifested_not_shipped,54.76
250390,1Z000104954,Ironline Industrial,NationalExpress,NEX_GROUND,2025-08-18,53.81,53.82,-0.01,duplicate_billing,53.81
250568,1Z000153623,Ironline Industrial,NationalExpress,NEX_2DAY,2025-12-02,53.27,53.27,0.0,duplicate_billing,53.27
250759,1Z000215424,Ironline Industrial,NationalExpress,NEX_GROUND,2025-08-22,53.07,53.07,0.0,duplicate_billing,53.07
68244,1Z000068244,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-10-20,52.34,52.34,0.0,manifested_not_shipped,52.34
246416,1Z000246416,Lumen Electronics,NationalExpress,NEX_2DAY,2025-02-25,52.26,52.26,0.0,manifested_not_shipped,52.26
18835,1Z000018835,Lumen Electronics,ContinentalParcel,CPX_GROUND,2025-12-02,52.11,52.11,0.0,manifested_not_shipped,52.11
250018,1Z000004899,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-07-19,51.4,51.4,0.0,duplicate_billing,51.4
250183,1Z000050111,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-12-18,51.27,51.27,0.0,duplicate_billing,51.27
250648,1Z000178908,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-10-05,50.78,50.79,-0.01,duplicate_billing,50.78
250430,1Z000117012,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-05-15,50.39,50.39,0.0,duplicate_billing,50.39
78834,1Z000078834,Lumen Electronics,NationalExpress,NEX_2DAY,2025-03-31,50.26,50.26,0.0,manifested_not_shipped,50.26
107135,1Z000107135,Harbor Home Goods,ContinentalParcel,CPX_GROUND,2026-01-03,50.25,50.25,0.0,manifested_not_shipped,50.25
170983,1Z000170983,Lumen Electronics,NationalExpress,NEX_2DAY,2025-03-12,50.22,50.22,0.0,manifested_not_shipped,50.22
189576,1Z000189576,Lumen Electronics,ContinentalParcel,CPX_GROUND,2025-02-15,49.99,49.99,0.0,manifested_not_shipped,49.99
217386,1Z000217386,Cascade Supplements,ContinentalParcel,CPX_GROUND,2025-05-28,49.74,49.74,0.0,manifested_not_shipped,49.74
179710,1Z000179710,Lumen Electronics,ContinentalParcel,CPX_SAVER,2026-01-03,49.52,49.52,0.0,manifested_not_shipped,49.52
250355,1Z000095249,Lumen Electronics,NationalExpress,NEX_2DAY,2025-07-18,49.3,49.3,0.0,duplicate_billing,49.3
250445,1Z000119285,Ironline Industrial,NationalExpress,NEX_2DAY,2025-09-11,49.02,49.02,0.0,duplicate_billing,49.02
250664,1Z000182927,Lumen Electronics,NationalExpress,NEX_2DAY,2025-09-15,48.56,48.56,0.0,duplicate_billing,48.56
158210,1Z000158210,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-07-21,48.41,48.42,-0.01,manifested_not_shipped,48.41
250606,1Z000164361,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-05-12,48.27,48.27,0.0,duplicate_billing,48.27
151275,1Z000151275,Lumen Electronics,NationalExpress,NEX_2DAY,2025-03-27,48.11,48.1,0.01,manifested_not_shipped,48.11
250493,1Z000131665,Cascade Supplements,NationalExpress,NEX_GROUND,2025-06-10,46.77,25.77,21.0,duplicate_billing,46.77
188939,1Z000188939,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-11-01,46.69,46.7,-0.01,manifested_not_shipped,46.69
250843,1Z000238244,Cascade Supplements,NationalExpress,NEX_2DAY,2025-12-16,46.66,46.66,0.0,duplicate_billing,46.66
178024,1Z000178024,Ironline Industrial,NationalExpress,NEX_GROUND,2025-05-12,46.26,46.26,0.0,manifested_not_shipped,46.26
250121,1Z000034733,Ironline Industrial,NationalExpress,NEX_GROUND,2025-07-17,45.96,45.95,0.01,duplicate_billing,45.96
250291,1Z000078276,Ironline Industrial,NationalExpress,NEX_GROUND,2025-09-04,45.49,45.48,0.01,duplicate_billing,45.49
250410,1Z000111013,Northwind Apparel,NationalExpress,NEX_GROUND,2025-12-17,45.4,24.4,21.0,duplicate_billing,45.4
213170,1Z000213170,Ironline Industrial,NationalExpress,NEX_2DAY,2025-05-17,45.37,45.37,0.0,manifested_not_shipped,45.37
250857,1Z000242979,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-10-29,44.34,44.34,0.0,duplicate_billing,44.34
170172,1Z000170172,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-09-04,44.05,44.05,0.0,manifested_not_shipped,44.05
194343,1Z000194343,Lumen Electronics,NationalExpress,NEX_2DAY,2025-09-29,43.73,43.73,0.0,manifested_not_shipped,43.73
250831,1Z000234354,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-01-31,43.64,43.64,0.0,duplicate_billing,43.64
250401,1Z000108809,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-10-07,43.32,43.32,0.0,duplicate_billing,43.32
127656,1Z000127656,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-11-20,43.29,43.3,-0.01,manifested_not_shipped,43.29
203031,1Z000203031,Harbor Home Goods,ContinentalParcel,CPX_GROUND,2025-01-29,43.01,43.01,0.0,manifested_not_shipped,43.01
250280,1Z000075121,Northwind Apparel,NationalExpress,NEX_2DAY,2025-06-02,42.91,42.91,0.0,duplicate_billing,42.91
250152,1Z000041983,Cascade Supplements,ContinentalParcel,CPX_GROUND,2025-11-12,42.4,21.4,21.0,duplicate_billing,42.4
92950,1Z000092950,Northwind Apparel,NationalExpress,NEX_2DAY,2025-07-04,42.11,42.11,0.0,manifested_not_shipped,42.11
148164,1Z000148164,Harbor Home Goods,ContinentalParcel,CPX_GROUND,2025-11-11,41.9,41.9,0.0,manifested_not_shipped,41.9
232463,1Z000232463,Lumen Electronics,NationalExpress,NEX_2DAY,2025-03-16,41.85,41.85,0.0,manifested_not_shipped,41.85
250458,1Z000121458,Northwind Apparel,NationalExpress,NEX_2DAY,2025-09-21,41.77,41.77,0.0,duplicate_billing,41.77
250651,1Z000179323,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-05-22,41.51,41.51,0.0,duplicate_billing,41.51
250446,1Z000119872,Harbor Home Goods,ContinentalParcel,CPX_GROUND,2025-04-02,41.38,41.38,0.0,duplicate_billing,41.38
104274,1Z000104274,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-11-25,41.35,41.35,0.0,manifested_not_shipped,41.35
249416,1Z000249416,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-11-10,41.35,41.35,0.0,manifested_not_shipped,41.35
250306,1Z000083361,Ironline Industrial,NationalExpress,NEX_GROUND,2025-12-10,41.27,41.27,0.0,duplicate_billing,41.27
211098,1Z000211098,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-11-25,41.17,41.17,0.0,manifested_not_shipped,41.17
148577,1Z000148577,Verity Beauty,NationalExpress,NEX_GROUND,2025-12-22,41.04,41.03,0.01,manifested_not_shipped,41.04
250424,1Z000115034,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-10-28,40.96,40.96,0.0,duplicate_billing,40.96
250096,1Z000028070,Northwind Apparel,NationalExpress,NEX_GROUND,2025-05-18,40.93,40.93,0.0,duplicate_billing,40.93
250471,1Z000124428,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-05-14,40.79,40.8,-0.01,duplicate_billing,40.79
250805,1Z000226787,Lumen Electronics,ContinentalParcel,CPX_SAVER,2026-01-20,40.79,40.78,0.01,duplicate_billing,40.79
98921,1Z000098921,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-09-02,40.41,40.41,0.0,manifested_not_shipped,40.41
250215,1Z000058833,Northwind Apparel,NationalExpress,NEX_2DAY,2025-03-24,40.24,40.25,-0.01,duplicate_billing,40.24
250574,1Z000155363,Northwind Apparel,NationalExpress,NEX_2DAY,2025-01-25,39.79,39.79,0.0,duplicate_billing,39.79
141108,1Z000141108,Harbor Home Goods,NationalExpress,NEX_GROUND,2025-02-13,39.77,39.77,0.0,manifested_not_shipped,39.77
250488,1Z000129813,Lumen Electronics,ContinentalParcel,CPX_GROUND,2026-01-11,39.52,39.52,0.0,duplicate_billing,39.52
250525,1Z000140799,Lumen Electronics,ContinentalParcel,CPX_SAVER,2025-06-11,39.52,39.52,0.0,duplicate_billing,39.52
