,value
shipments,250000.0
invoice_lines,250879.0
carriers,4.0
clients,6.0
invoiced_spend,5196215.54
contracted_spend,5137575.970000001
recovery_usd,73533.0
gsr_usd,17145.239999999998
rateshop_savings,234033.48
rateshop_savings_uncapped,345443.08999999997
packaging_savings,85011.43
exception_lines,10279.0
exception_rate,0.04097194264964385
dim_billed_share,0.5346
avg_cube_utilization,0.5406602067585978
dim_penalty_spend,323016.97826490505
gri_pct,0.0730271011784508
gri_usd,375182.2801731676
gri_headline,0.059
regional_cap,0.18
air_to_ground_pkgs,6375.0
air_to_ground_savings,127502.54000000001
total_opportunity,409723.14999999997
opportunity_pct,0.07885029919293916
