current_service,optimal_service,shipments,savings
NEX_GROUND,RGX_REGIONAL,17882,67201.74
CPX_GROUND,RGX_REGIONAL,10129,36421.64
NEX_2DAY,RGX_REGIONAL,823,28082.66
NEX_2DAY,NEX_GROUND,886,18892.05
CPX_SAVER,CPX_GROUND,1323,18192.9
CPX_SAVER,NEX_GROUND,1015,17582.11
CPX_SAVER,RGX_REGIONAL,781,15746.25
NEX_2DAY,CPX_GROUND,818,14729.24
CPX_SAVER,PSD_ECONOMY,729,14277.33
CPX_GROUND,NEX_GROUND,3674,2486.29
PSD_ECONOMY,CPX_GROUND,335,306.47
PSD_ECONOMY,RGX_REGIONAL,18,46.589999999999996
PSD_ECONOMY,NEX_GROUND,8,4.0
NEX_GROUND,CPX_GROUND,5,3.0300000000000002
